,date,favorite_count,keyword,location,text,user,object_of_sentiment,salience,magnitude,sentiment_score,person
62,Tue Jul 16 05:39:26 +0000 2019,0,syriza,Europe,"RT @DiEM_25: ""#Tspiras did not simply capitulate to the troika, or swap his radical ideals for hard-nosed realism. He actively refashioned",avivajazz,,,,,
63,Mon Jul 15 22:18:57 +0000 2019,0,syriza,Europe,"RT @JoshuaYJackson: I saw a comment that made me laugh, it said:

DiEM25 is Syriza for slow learners

Why does Labour want to spend a dec",JaM99percent,,,,,
64,Mon Jul 15 22:16:35 +0000 2019,0,syriza,Europe,RT @JoshuaYJackson: All I can say is these people will be disappointed when their wacky pipe dream of reform turns out to be an even bigger,JaM99percent,,,,,
65,Mon Jul 15 22:11:41 +0000 2019,0,syriza,Europe,"@Keir_Starmer @Another_Europe @LoveSocialism Don't you dare do a Syriza on us.  ""Brexit is the most important polit https://t.co/kormHHdqUV",Fifthcycler,,,,,
66,Mon Jul 15 21:02:07 +0000 2019,1,syriza,Europe,"@NorretteM @OwenJones84 @michael_chessum @HackneyAbbott @johnmcdonnellMP @Keir_Starmer @EmilyThornberry See Syriza, failure of",Calderbank,,,,,
67,Mon Jul 15 19:51:34 +0000 2019,6,syriza,Europe,All I can say is these people will be disappointed when their wacky pipe dream of reform turns out to be an even bi https://t.co/cs7id6dsie,JoshuaYJackson,,,,,
68,Mon Jul 15 18:24:58 +0000 2019,0,syriza,Europe,"RT @sam_swash: Fascinating that Paul Mason, who spent years in Greece covering the rise of SYRIZA for Channel 4, is totally silent on its w",AnnBattle1,,,,,
69,Mon Jul 15 18:17:58 +0000 2019,0,syriza,Europe,"RT @ikostaki: . @tsakalotos answers to @CNBC on @IMFNews candidacy. The special council of @syriza_gr faction called ""Group of 53"", voted a",aspromavrogati,,,,,
70,Mon Jul 15 18:11:52 +0000 2019,1,syriza,Europe,". @tsakalotos answers to @CNBC on @IMFNews candidacy. The special council of @syriza_gr faction called ""Group of 53 https://t.co/t4ViEBLph4",ikostaki,,,,,
71,Mon Jul 15 14:38:12 +0000 2019,0,syriza,Europe,"@Discworld101 @GeorgeAylett I think some EU leaders were a bit harsh. However, once the deal was on the table what https://t.co/FTXsAvS4v9",RedGeorgieOne,,,,,
